entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
peril	  مەترسی	ریسک	خەتەر											
wife	  ژن	هاوسەر	خێزان											
ignore	  پشتگوێ دەخات	لەبیر دەكات	خۆی لێ گێل دەكات											
soil	  خاک	زەوی	خۆڵ											
incur	  خۆتوش کردن	گیرۆدەبوون	خۆگرفتارکردن											
love	  ئەڤین	دڵداری	خۆشەویستی											
creature	  بوونەوەر	ئافرێنراو	خوڵقێنراو											
date	  رێکەوت	ژوان	خورما											
God	  خودا	خوا	خودێ											
deity	  یەزدان	خوا	خوایی											
table	  مێز	تەبڵە	خشتە											
enclose	  دەورەدان	پەرژین کردن	خستنەناو											
protract	  دواخستن	گیرۆکردن	خستنەدوا											
vice	  گوناهـ	تاوان	خراپە											
house	  ماڵ	خانوو	خانی											
score	  تۆمارکردن	گۆڵ کردن	خاڵ بەدەستهێنان											
g	  جی	گی	حەفتەم پیتی ئەلفوبێی ئینگلیزی											
weed	  گژوگیا	بژار دەکات	حەشیش											
watchman	  پاسەوان	چاودێر	حەسحەس											
narration	  چیرۆک	گێڕانەوه	حیکایەت											
judge	  دادوەر	قازی	حاکم											
curve	  کەوانه	هێلی چەمیاو	چەماوه											
sheet	  پەڕە	پەتۆ	چەرچەف											
grinder	  دەستاڕ	هارەڕ	چەخماخچی											
clip	  گرتە	کلیپ	چەپک											
escape	  هەڵاتن	ڕاکردن	چوونە دەرەوە											
tube	  بۆڕی	تیۆب	چووپ											
regain	  وەدەست خستنەوە	وەرگرتنەوە	چنگ خستنەوە											
pattern	  شێوە	شێواز	چنراو											
bush	  دەوەن	دارچک	چڵو											
infection	  هەوکردن	تەنینەوه	چڵککردن											
lamp	  گڵۆپ	لامپه	چرا											
scan	  پشکنین	پێداگەڕی	چاوپیاخشاندن											
improvement	  چاکسازی	باشی	چاکی											
corrective	  ڕاستکاری	ڕاستکەرەوە	چاکسازی											
reference	  ژێدەر	سەرچاوە	چاڤکانی											
corpse	  تەرم	لاشە	جەستە											
ceremony	  ئاهەنگ	ڕێوڕەسم	جەژن											
deviation	  لادان	لادان لە چەق	جیاوازی لە مامناوەندی ئاماری											
vary	  گۆڕان	گۆڕین	جیاوازبوون											
split	  بەش کردن	لەت کردن	جیاکردنەوە											
space	  بۆشایی:جێی بەتاڵ	شوێن	جێی چۆڵ											
gender	  رەگەز	جەندەر	جۆره											
uplift	  سەرچوون	بەرزبوونەوه	جووڵانی بەرەوسەری چینی زەوی											
sway	  شەکانەوە	لەرینەوە	جوڵانەوەی هێواش											
swear	  سوێند خواردن	جوێن دان	جنێودان											
cloth	  جلوبەرگ	جل	جلک											
fag	  ئێشکردن و ماندووبوون	به‌رده‌ستی کردن	جگه‌ره‌											
animal	  ئاژەڵ	گیانەوەر	جانەوەر											
stone	  بەرد	کوچک	تەوەن											
flora	  گۆڵنامه	فلۆرا	تەوای گیاگەلی دەڤەرێک											
ending	  کۆتای دێت	بەکۆتادێت	تەواو دەبێت											
margin	  قەراخ	کەنار	تەنیشت											
phone	  تەلەفۆن	دەنگ	تەلەفۆن دەكات											
hall	  هۆڵ	ژووری سەرەکی	تەلار											
technology	  پیشەزانی	تەکنیکزانی	تەکنۆلۆژیا											
wet	  تەڕ	شێدار	تەڕ دەکات											
finance	  کاروباری ماڵیی	سەرمایەگوزاری	تەرخانکردنی سەرمایە											
chip	  تەڵەزم	چیپ	تەختەگێژەنێکی ئەلکتریکی که له کۆمپیوتەردا بەکار دەبرێ											
wood	  چێو	دار	تەختە											
cliff	  زنار	زانک	تەخته بەرد											
apex	  سەر	نووک	تیژایی											
band	  دەستە	گرووپ	تیپ											
variety	  جیاوازە	جۆراوجۆری	تێکەڵە											
mix	  تێکەڵ کردن	تێکەڵ بوون	تێکەڵاوی											
contender	  پێشبڕکێ کەر	خەبات کار	تێکۆشەر											
destruction	  وێرانکردن	خاپورکردن	تێکدان											
perception	  تێگەیشتن	دەرک	تێڕوانین											
muse	  بیرکردنەوە	داڵغەلێدان	تێداڕامان											
remark	  لێدوان	تێبینی دان	تێبینی											
stuff	  ئاخنین	پڕکردن	تێ کردن											
scare	  ترس	ترساندن	تۆقاندن											
powder	  پاوده ر	بارووت	تۆز											
science	  زانست	هین	تۆره											
football	  تۆپانێ	تەپکانێ	تۆپێن											
sphere	  گۆ	گرۆڤەر	تۆپ											
metal	  کانزا	مێتاڵ	توخمێکی(مادەێکی بنچیننەی) کانزایی زۆر رەق(بۆ نموونه ئاسن)											
ask	  پرسیارکردن	داوا کردن	تکاکردن											
inspect	  پشکنین	تێڕوانین	تاوتوێکردن											
tank	  تانک	تەنکی	تانکێڕ											
yearning	  پەرۆش	ئارەزوو	تامەزرۆ											
vault	  گومبەت	ئاوباره	تاق											
plague	  پەتا	درم	تاعوون											
painting	  وێنەکردن	وێنەکێشان	تابلۆکردن											
junction	  دووڕیان	جێگای پێکگەێشتنی دوو گەیێنەر	پەیوەندگه											
find	  دۆزینەوە	دیتنەوە	پەیداکردن											
found	  دامەزران	دۆزراوە	پەیداکراو											
get	  دەست دەکەوێت	چنگ دەکەوێت	پەیدا دەکات											
lump	  کڵۆ	گرێ	پەلمان											
aggression	  دوژمنکاری	رەفتاری شەڕانی	پەلامار											
branch	  لق	چڵ	پەل											
sorrow	  غەم	کەسەر	پەژارە											
swallow	  قووتدان	هەڵلوشین	پەڕەسێلکە											
file	  فایل	دۆسیە	پەرگە											
temple	  لاجانگ	بەشێکی نێوچەوان	پەرستگا											
display	  دەرخستن	پیشان دان	پەردە											
distribution	  دابەشکردن	بڵاوکردنەوه	پەخشکردن											
manufacture	  بەرهەمهێنان	دروست کردن	پیشەگەری											
show	  پیشانبدە	پیشاندان	پیشانگە											
fertilize	  به‌هێزکردنی زه‌وی	په‌ین تێکردن	پیتکردن											
clergy	  شێخ	مەلا	پیاوی ئایینی											
murder	  کوشتار	کوشتن	پیاوکوشتن											
observance	  گوێڕەیەڵی	پەیڕەوکردن	پێگیریکردن											
supplier	  دابینکەر	دەستەبەرکەر	پێشکەشکەر											
represent	  نوێنەرایەتی کردن	نواندن	پێشاندان											
shoes	  پێڵاو	قۆنەرە	پێسۆل											
insect	  مێروو	گەناوەر	پێتک											
tell	  پێ ووتن	ووتن	پێ ڕاگەیاندن											
falter	  زمانگیران	لاڵه‌په‌تێ	پێ داچوون											
polish	  بریقەدارکردن	هاوڵاتیانی دانیشتووی پۆڵۆنیا	پۆڵۆنی											
copper	  مس	دراوی مسین	پۆلیس											
class	  چین	جۆر	پۆل											
plate	  بەرگر	پلێت	پۆشکراو											
upgrade	  بەهێزترکردن	باشترکردن	پلەبەرزکردنەوە											
step	  هەنگاو	شەقاو	پلە											
backing	  کۆمەککردن	پاڵپشتیکردن	پشتیوانیکردن											
back	  بۆدواوە	گەڕانەوە	پشت											
pack	  گوورزە	بەستەک	پریاسکە											
remain	  مانەوە	بەجێمان	پایەداری											
grade	  پلە	پۆل	پایە											
buttock	  قۆپچە	سمت	پاشۆل											
fossil	  فۆسیل	بووبەرد	پاشماوەی ئاژەڵ یان رووەک											
peat	  پیت	ئێزینگ	پاشماوەی رووەکی دارزڕاو له ئاودا											
passage	  راڕەو	بەش	پارچە											
retain	  هێشتنەوە	ڕاگرتن	پاراستن											
parasite	  مشەخۆر	گیانەوەری نەرمۆ	پارازیت											
repay	  پارەدانەوە	قەرزدانەوە	پاداشت دانەوە											
awareness	  هۆشیاری	وشیاری	بەئاگای											
know	  زانین	ناسین	بەئاگابون											
price	  بایی	نرخ	بەها											
airport	  فڕۆکەخانە	فڕگە	بەندەری ئاسمانی											
port	  دەروازە	دەرەچە	بەندەر											
exhibit	  پێشاندان	دەرخستن	بەڵگەی پیشاندراو له دادگا											
mantle	  سەرپۆش	ئەو بەشەی نێوان ناوەک و پێستی زەوی	بەشی ناوەندی زەوی											
front	  بەرە	ڕووکار	بەرەی جەنگ											
challenge	  بەرەنگاربوونەوە	سنگ هێنانەپێش	بەرەنگاری گردنی شایەت له دادپرسیدا											
oppose	  بەرەنگاربوونەوە	دژایەتی کردن	بەرهەڵستی کردن											
program	  بەرنامە	بەرنامەسازدان	بەرنامەنووسین											
withstand	  بەرەو ڕوو دەوەستێت	بەرانبەری دەکات	بەرگەدەگرێت											
coat	  پاڵتۆ	فەروو	بەرگ											
advantage	  ئەدگار	سوود	بەرژەوەندی											
fight	  شەڕکردن	جەنگ کردن	بەربەرەکانی											
equalize	  یەکسانبوون	هاوتا	بەرامبەر											
grain	دانەوێڵه	دەنک‌	بەر											
misfortune	  بەدبەختی	چارەڕەشی	بەدشانسی											
decide	  بڕیاردان	بڕاندنەوە	بەتەمابوون											
watcher	  پاسەوان	چاودێر	بینەر											
memory	  زەین	بیر	بیرەوەری											
innovation	  داهێنان	شێوازێکی نوێ	بیرۆکەی نوێ											
drill	  ڕاهێنان	کونکردن	بیرلێدان											
retrieve	  هێنان	کردنەوە	بیرکەوتنەوە											
warrant	  فەرمان	بیانو	بیانو دەهێنێتەوە											
alien	  بیانی	هاووڵاتی بیانی	بێگانه											
certainty	  دڵنیایی	بێگومانی	بێدڕدۆنگی											
unconsciousness	  بێ ئاگایی	نا وشیاری	بێ هۆشی											
fatuity	  کەری	کەرێتی	بێ مێشکی											
welkin	  ئاسمان	کەش	بۆشایی ئاسمان											
conclude	  ئاکام گرتن	ئاکام ویستن	بۆدەرکەوتن											
proposal	  پێشنیار	ڕا	بۆچوون											
cause	  هۆ	دۆز	بوونە هۆی											
organism	  زیندەوەر	ئۆرگانیزم	بوونی زیندوو(وەکوو ئاژەڵ و گیا)											
gig	ئیش وه‌رگرتنی ئیشێکی کاتی	عه‌ره‌بانه‌ی یه‌ک ئه‌سپی دووپێچکه‌ی سه‌ربه‌تاڵ	به‌له‌می خێرای سه‌وڵ											
end	  پایان	کۆتایی	بنەتا											
bottom	  ژێر	ژێرەوە	بن											
journal	  رۆژنامە	بڵاڤۆک	بڵاوکراوه											
choice	  هەڵبژاردە‌	سەرتڵ	بژاره											
sum	  کۆ	سەرجەم	بڕ											
starve	  لە برسان مردن	برسێتی کێشان	برسێتی پێدان											
carry	  هەڵگرتن	گواستنەوە	بردن											
friend	  هەڤاڵ	هاوڕێ	برادەر											
buddy	  هاوڕێ	پیاو	برادەر											
child	  منداڵ	زارۆک	بچیک											
atom	  ئەتۆم	گەردیله	بچووکترین بەشی توخمێک											
minute	  خولەک	وورد	بچووک											
see	  بینین	دەبینێت	ببینە											
value	  بەها	نرخ	بایی											
believe	  باوەڕکردن	بڕواکردن	باوەڕهێنان											
gossip	  باسکردنی که‌سێک له‌ پاشمله‌	به‌دگۆیی	باوک و دایک یان براده‌ری گیانی به‌گیانی											
flurry	  بەفری توند(ی کوتوپڕ و کورتخایەن)	باوبەفر	باوباران											
balcony	  باڵکۆن	هەیوان	باهۆ											
bath	  گەرماو	حەوزی حەمام	بانێۆ											
claim	  داخوازی	ویست	بانگەشه											
bank	بەشی خوارووی سەردێڕ	فایلی کۆمپیوتەر که بابەتێکی تێدا پێش ئەوەی له چاپ بدرێ هەڵدەگیرێ	بانک											
surface	  روو‌‌بەر	سەرڕوو	بان											
balance	  تەرازوو	هاوسەنگ	باڵانس											
fear	  ترس	ترس و لەرز	باک											
champion	  پاڵەوان	قارەمان	باشترین											
great	  گەورە	مەزن	باش											
town	  شارۆچکە	شار	باژێڕ											
wine	  مەی	شەڕاب	بادە											
yard	  یارد	بۆ پێوانەی دووری بەکاردێت	1 یارد دەکاتە0.9144مەترێک											
amour	  عەشق	ئەوین												
input	  دەر‌خوارده	ئەو بەشەی گێژەن(سێرکت) که سیگناڵ وەردەگێت												
belong	  هی کێ	ئەندامە لە												
tongue	  زمان	ئەندامی مرۆڤە بۆ ئاخاوتن و چەشتن												
parliament	  پەرلەمان	ئەنجومەنی نوێنەران												
eventuality	  ئەگەری	ئەگەری بوونی شتێک												
romance	  رۆمانی ئەڤینی	ئەفسانه												
star	  ئەستێرە	ئەستێرەی هونەر												
neck	  مل	ئەستۆ												
aroma	  بۆن	ئەرۆما												
task	  کار	ئەرک												
explosive	  تەقەمەنی	ئەتەقێتەوە												
dishonor	  شورەیی	ئەتک												
institute	  پەیمانگا	ئینستیتۆ												
worker	  کرێکار	ئیشکەر												
grief	  خه‌فه‌ت	ئێش و ئازار												
skeleton	  سکێلەت	ئێسکه پەیکەر												
iron	  ئاسن	ئوتوی جل و بەرگ												
ideal	  نموونەی بێ‌خەوش	ئایدیاڵ												
ambulance	  ئامبوڵانس	ئاوتۆفریا												
concert	  ئاهەنگی مۆسیقا	ئاهەنگی گۆرانی وتن و سەما												
instrument	  ئامێر	ئامراز												
facility	  ئاسانکاری	ئامراز												
goal	  گۆڵ	ئامانج												
condiment	  بەهارات	ئاڵەت												
exacerbate	  خراپترکردن	ئاڵۆزترکردن												
side	  لا	ئال												
woman	  ژن	ئافرەت												
create	  درووستکردن	ئافراندن												
reveal	  دەرخستن	ئاشکراکردن												
uncover	  دەرخستن	ئاشکراکردن												
disclosure	  درکاندنی نهێنی	ئاشکراکردن												
heaven	  بەهەشت	ئاسمان												
blockage	  لەمپەر	ئاستەنگ												
predator	  راوڕ	ئاژە‌ڵی دڕنده												
sexuality	  زایەندیەتی	ئاژۆکی سێکس												
grieve	  خه‌م و خه‌فه‌ت پێدان	ئازاردان												
harm	  ئەزیەت	ئازار												
ache	  ئێش	ئازار												
malady	  نەخۆشی	ئازار												
chin	  چناکه	ئارزەن												
Hebrew	  عبری	یەهودی												
yen	  یەن	یەکەی دراوە لە ژاپۆن												
fusion	  تێکەڵبوون	یەکگرتن												
unite	  یەکگرتن	یەکخستن												
unification	  یەککردن	یەکتاپەرستی												
uniform	  هاوچەشن	یەک نەوا												
answer	  وەڵام	وەڵامدانەوە												
reply	  وەڵام	وەڵام دانەوە												
intensity	  توندێتی	وەک توندێتی دەرکەوتنی ڕووکار و ڕەنگ												
pause	  وچان	وەستان												
exercise	  ڕاهێنان	وەرزش کردن												
need	  پێویستی	ویستن												
shape	  شێوە	وێنە												
invigorate	  بوژاندنەوە	ووزەپێدان												
chore	  ووردەکار	ووردەئیش												
particle	  گەرد	ووردەڵە												
land	  خاک	وشکانی												
demoralize	  دەڕوخێنێ	ورەی دەشکێنێ												
dialogue	  دیالۆگ	وتووێژ												
conversation	  گفتوگۆ	وتوو وێژ												
seem	  وادەرکەوتن	واوێچوون												
loan	  قەرزکردن	وام												
deem	  وادانین	وازانین												
hypothesis	  گریمانه	وادانان												
moon	  مانگ	هەیڤ												
dignity	  شکۆ	هەیبەت												
ferment	  دەترشێت	هەوێن												
token	  ‌نیشانه	هەوه												
struggle	  تێکۆشان	هەوڵدان												
inform	  ئاگادارکردن	هەواڵ پێدان												
pace	  هەنگاو	هەنگاو دەنێت												
mound	  تەپۆڵکه	هەندەڤ												
breed	  زۆربوون	هەناسەبڕاو												
shipping	  گواستنەوەی دەریایی	هەناردەکردن بەڕێگەی ئاوی												
whole	  تەواو	هەمووی												
shiver	  لەرزین	هەڵلەرزین												
arise	  هەڵدەستێ	هەڵسان												
vegetation	  سەوزەڵاتی	هەشیناتی												
guiltiness	  تاوانباربوون	هەستی تاوانباری												
sensing	  هەستکردن	هەستپێکردن												
affect	  کارتێ کردن	هەست جوڵاندن												
realize	  پێدەزانێت	هەست پێکردن												
clay	  قوڕ	هەڕگ												
cooperation	  هەماهەنگی	هەرەوەزی												
disconcert	  دەشێوێنێ	هەراسان دەکا												
needle	دەرزیی	هەر شتێکی وەکوو دەرزی بێت												
heater	  گەرم کەر	هیتەر												
cushion	  کوشن	هێور دەکاتەوە												
conceive	  خەمڵاندن	هێنانە پێشچاو												
marking	  نیشانی دەکات	هێمای لەسەر دادەنێت												
equator	  هێڵی یەکسانی زەوی	هێڵی یەکسانبوون												
egg	  هێلکە	هێلک												
accent	  جە‌خت	هێز												
campaign	  هەڵمەت	هێرش												
reason	  هۆ	هۆکار												
motive	  سۆنگه	هۆکار												
sanity	  ژیری	هۆشمەندی												
intellect	  بیر	هۆش												
hotel	  میوانخانە	هۆتێل												
warn	  ئاگادارکردن	هوشیاری دان												
fabrication	  دروستکردن	هه‌ڵبه‌ستن												
jump	  پاز ده‌دات	هه‌ڵبه‌زین												
thought	  بیر	هزر												
lens	  لینز	هاوێنه												
sharing	  دابەش کردن	هاوبەش کردن												
cry	  گریان	هاوار												
impulse	  هێوەژ	هاندەر												
mirror	  ئاوێنە	نەینۆک												
evaluate	  هەڵسەنگاندن	نەهاندن(دەستەواژەێکه که له جەبردا بەکار دێت)												
disgust	  قێر	نەفرین												
impotence	  پەککەوتوو	نەتوانینی ئەنجامدانی سێکس												
lack	  کەمی	نەبوونی												
flag	  ئاڵا	نیشانکەر												
niche	  جۆری ژینگه	نیش												
ratio	  رێژە	نیسبەت												
male	  نێر	نێرینە												
deputation	  شاند	نێردراو												
butter	  کەرە	نڤیشک												
slope	  لێژایی	نشێو												
approach	  رێباز	نزیکبوونەوە(کات-شوێن)												
prayer	  نوێژکەر	نزاکەر												
register	  خۆتۆمارکردن	ناونووسی کردن												
core	  ناوەکی هەساره	ناوکە												
territory	  هەرێم	ناوچە												
forehead	  توێڵ	ناوچاوان												
padding	  ناوەخن	ناوپۆش												
adjudicator	  ڕازی کەر	ناوبژیوان (دادوەری دەرەوەی تاوان)												
name	  ناو	ناڤ												
identification	  پێناس	ناسنامە												
familiar	  باو	ناسراو												
dainty	  ناسک	نازدار												
opponent	  رکابەر	ناڕازی												
export	  هەناردن	ناردنەدەرەوە												
mail	  پۆست	ناردن بە پۆست												
send	  بینێرە	ناردن												
wrong	  ناڕاست	نادروست												
fake	  ساخته‌کردن	نادروست												
undergo	  تاڵی دەچێژێ	ناخۆشی دەچێژێ												
swim	  مەلە	مەلەکردن												
machine	  ئامێر	مەکینه												
affair	  کاروبار	مەسەلە												
consumer	  تێبەر	مەسرەفکەر												
people	  خەڵک	مەردم												
hammer	  چەکووش	مەردان												
ankle	  گۆزینک	مەچەکی پێ												
fruit	  بەر	میوه												
female	  می	مێینە												
fanaticism	  کوێر باوه‌ڕی	مێشک ته‌سکی												
jazz	  جاز	مۆسیقا												
module	  یەکە	مۆدیول												
brain	  مێشک	مۆخ												
music	  مۆسیقا	موسیک												
twitch	  مووچرکە	موچووڕک												
grip	  گیره‌	مه‌نگه‌نه‌												
son	  کوڕ	منداڵی نێرینە												
mumble	  منگەمنگ کردن	منجەمنج کردن												
babble	  بۆڵەبۆڵ دەکات	منجەمنج دەکات												
string	  ڕیزبەند	ملوانکە												
rat	  جرج	مشک												
human	  مرۆڤ	مرۆ												
denial	  حاشایەتی	ماندەلیەتی												
significance	  بایەخداری	ماناداربوون												
medium	  مامناوەندی	مامناوەند												
site	  شوێن	ماڵپەڕ												
ingress	  چوونەژوورەوە	مافی چوونە ژوورەوە												
morphine	  مۆرفین	ماددەیەکی بێهۆشکەرە												
chemical	  کیمیایی	ماددەی کیمیایی												
kiss	  ماچ	ماچ کردن												
motorcycle	  ماتۆڕ	ماتۆڕی لێخوڕین												
mathematics	  بیرکاری	ماتماتیک												
gild	  زەرکەشکردن	لەئاڵتون گرتن												
forget	  لەبیرچوون	لەیادکردن												
might	  هێز	لەوانەیە												
near	  نزیک	لەنزیک												
island	  دوورگه	لەنده												
consume	  بەکار دێنێ	لەناو دەبا												
decapitate	  سەری دەبڕێ	لەملی دەدا												
impediment	  ڕێگر	لەمپەر:سەرزمانگرتن:زمانگران												
bandage	  برین پێچ	لەفافی برین پێچان												
army	  سوپا	لەشکر												
delicacy	  نیانی	لەسەرخۆیی												
pleasure	  خۆشی	لەزەت												
tremble	  لەرزە	لەرزین												
forfeit	  لەکیس دان	لەدەستدان												
divide	  دابەشکردن	لەتکردن												
copy	  ڕوونووس	لەبەرگرتنەوە												
recitation	  خوێندنەوە بەدەنگی بەرز	لەبەر ووتنەوە												
puddle	  تنۆلێگ ئاو	لیچ												
boundary	  سنوور	لێوار												
ability	  توانا	لێهاتوویی												
analyze	  شیکردنەوە	لێکۆلینەوە												
throb	  دڵ تەپە تەپ کردن	لێدانی دڵ بەخێرایی												
wrap	  پێچانەوە	لوول کردن												
pinnacle	  گومەزی یان قەڵای نووکتێژی سەرەوەی باڵەخانه	لووتکه												
limb	  پەلک	لق												
cancellation	  سڕینەوه	لاوەنانەوه												
impair	  زیاندەگەیەنێ	لاوازدەکا												
parody	  پارۆدی	لاسایی گاڵتەجاڕیانەی بەرهەمێکی جیددی ئەدەبی												
adult	  بالغ	گەییو												
accomplish	  بەدەست هێنان	گەیشتن بە												
communication	  ئاڵوگۆڕکردن	گەیاندن												
youth	  لاوی	گەنجیەتی												
toy	  یاری	گەمە												
fool	  گێژ	گەمژە												
blockade	  ئابڵوقەدان	گەمارۆدان												
nation	  نەتەوە	گەل												
boom	  گرمەی بازرگانی	گە‌شەی خێرای ئابووری												
grow	  گەشە	گەشەکردن												
bloom	  شکۆفەکردن	گەشەکردن												
evolve	  پەرەسەندن	گەشەکردن												
cultivate	  زەوی دەکێڵێ	گەشە دەکا												
marsh	  قامیشەڵان	گەڕاو												
homecoming	  گەڕانەوە بۆ ماڵەوە	گەڕانەوە بۆ وڵات												
restore	  گەڕاندنەوە	گەڕاندنەوە سیستەم بۆ کاتێ و بارێکی دیاریکراو												
pharynx	  ناق	گەروو												
throat	  قوڕگ	گەروو												
molecule	  مۆلیکول	‌گەرد												
airdrome	  فڕۆکەخانە	گەراجی فڕۆکەخانە												
stomach	  زگ	گەده												
hang	  گیر بوون	گیربوون لە شتێک												
plant	  رووەک	گیا												
ass	  کەر	گێل												
lamb	  بەرخ	گۆشتی بەرخ												
replace	  لەبریدانان	گۆڕین												
change	  گۆڕان	گۆڕین												
modify	  گۆڕین	گۆڕانکاری												
convert	  گۆرین	گۆڕان												
crime	  تاوان	گوناه												
guilt	  تاوان	گوناه												
sin	  تاوان	گوناح کردن												
doubt	  بەگومان	گومان پێبردن												
rose	  گوڵی سور	گوڵەباخ												
geek	  که‌سێک که‌ گونجاو نه‌بێت	گه‌مژه‌بێت												
growth	  زۆربوون	گه‌شه‌کردن												
grass	  گیا	گژوگیا												
consideration	  وادانان	گریمانە												
weep	  گرین	گریان												
agreement	  ڕێکەوتننامە	گرێبەست												
knot	  گرێ	گرێ لێدان												
important	  بایەخدار	گرنگ												
grumble	  بۆڵه‌بۆڵ کردن	گرمه‌												
prison	  بەندیخانە	گرتووخانە												
hold	  ڕاگرتن	گرتن												
suit	  دادخوازی	گازنده												
housewife	  كابان	کەیبانوو												
lichen	  بڤز	کەوز												
weakness	  لاوازی	کەمی												
peak	  لووتکە	کەمت												
minimize	  بچووک کردنەوە	کەم کردنەوە												
elegance	  سپۆرتی (ڕێک و پێکی جل وبەرگ)	کەشخە												
kin	  خزم	کەسوکار												
ingredient	  پێکهاتە	کەرەستە												
hare	  کەروێشکی کێوی	کەروێشکە کێوی												
fragment	  پارچەپارچەبوون	کەرت کەرت بوون												
section	  بەش	کەرت												
nose	  لووت	کەپوو												
lock	  قفل	کێلوون												
rabbit	  کەروێشک	کێرووشک												
slavery	  کۆیلەداری	کۆیلایەتی												
contract	  رێکەوتننامه	کۆنتراکت												
syndicate	  سیندیکا	کۆمەڵێک رۆژنامه که خاوەنەکەیان یەکێک بێ												
society	  کۆمەڵگا	کۆمەڵ												
computer	  بژمێر	کۆمپیوتەر												
apple	  سێو	کۆمپانیای ئەپڵ												
compass	  قیبلەنما	کۆمپاس												
storage	  هەڵگرتن	کۆکردنەوە												
count	  ژماردن	کۆکردنەوە												
glean	  چنینه‌وه‌	کۆکردنه‌وه‌												
coffee	  قاوە	کۆفی												
study	  خوێندن	کۆششکردن												
depth	  قووڵایی	کۆرانی												
blind	  نابینا	کوێر												
mayor	  شارەوان	کوێخا												
mint	  نەغنا	کورسی نەغنا												
chair	  کورسی	کورسی سەرۆکایەتی												
anecdote	  کورتیلەچیرۆک	کورتەچیرۆک												
wed	  چوارشەممە	کورتکراوەی چوارشەممە												
fatuousness	  سه‌خافه‌ت	که‌ر												
farming	  کشتوکاڵی	کشتوکاڵی کردن												
encrypt	  شفرەکردن	کردنە هێما												
click	  کرتە	کرتە کردن												
open	  کراوەیە	کراوە												
deaden	  دادەمرکێنێ	کپ دەکا												
paper	  پەڕە	کاغەز												
electricity	  ئەلکتریسیته(جۆرێک وزه)	کارەبا												
weave	  چنین	کاری چنین												
factory	  کارگە	کارخانە												
factor	  هۆکار	کارتێکەر												
efficiency	  لێهاتووی	کارایی												
labor	  ئیش	کار												
transition	  گواستنەوە	کاتی												
sugar	  شەکر	قەند												
slim	  باریک	قەڵەمی												
slaughter	  کوشتارگە	قەسابخانە												
edge	  لێوار	قەراخ												
destiny	  چارەنووس	قەدەر												
dislike	  حەزلێ نەکردن	قین لێ بوونەوە												
spite	  ڕق	قین												
butt	  قونکە جگەرە	قۆنداغی تفەنگ												
cramp	  دەماری هەڵدەسەتێنێ	قۆلنج دەکا												
exploit	  قۆرخکردن	قۆزتنەوە												
button	  دوگمە	قۆپچە												
grapple	  له‌نگه‌ر	قولاپ												
crimson	  سوری تێر	قورمزی												
gambol	  یاریکردن	قه‌ڵه‌مبازدان												
alkali	  ئەلکالی	قلیەیی												
annihilate	  قەڵاچۆکردن	قڕی دەکا												
consent	  رازی بوون	قایل بوون												
finger	  پەنجەی دەست	قامک												
die	  مردن	قاڵب												
profit	  کەڵک	قازانج												
leg	  لاق	قاچ												
transport	  گواستنەوە	ڤەگۆهاستن												
culture	  کەلتوور	فەرهەنگ												
employee	  کارمەند	فەرمانبەر												
whistle	  فیکە	فیکە لێدان												
spatter	  پرژاندن	فیچقان												
deceit	  گزی	فێڵ												
disciple	  شاگرد	فێرخواز												
brush	  فڵچە	فڵچەلێدان												
hijack	  فڕاندن	فڕاندنی فڕۆکە و ماشێن												
angel	  پەری	فریشتە												
shop	  دوکان	فرۆشگا												
sell	  فرۆشتن	فرۆتن												
tear	  ئەسرین	فرمێسک												
waggon	  عەرەبانە	فارغۆن												
gurgle	  بڵقه‌بڵق	غه‌رغه‌ره‌												
muscle	  ماسولکه	عەزەڵە												
tire	  ماندووکردن	شەکەت بوون												
rattle	  تەقەتەقکردن	شەقشەقەی منداڵ												
crevice	  درز	شەق												
kick	  تێهەڵدان	شەق												
condition	  مەرج	شەرت												
undulate	  لێواری شەپۆلدار	شەپۆل شەپۆلی												
vale	  دۆڵ	شیوو												
chemistry	  کیمیا	شیمیا												
mammal	  گواندار	شیردەر												
polity	  شێوەحکومەت	شێوەی ئیدارە												
conic	  قوچەکی	شێوەقووچەکی												
style	  رێچکه	شێواز												
precipitation	  بننیشتووی	شێڵی												
abode	  ماڵ	شوێنی دانیشتن:بارەگا												
setting	  ڕێکخستن	شوێن و کات												
dishonour	  ئابڕووچوون	شورەیی												
surname	  نازناو	شورەت												
liquid	  شلە	شلەمەنی												
melt	  توانەوە	شل بوونەوە												
failure	  سەرنەکەوتن	شکست												
footwear	  پێ پۆش	‏شتی لە پێکردن‏												
gamble	قومارکردن	شتێکی پڕمه‌ترسی کردن له‌پێناوی ده‌سکه‌وتێکی گه‌وره‌دا												
goody	  شتێک زۆر باش و جوان بێت بۆ خواردن	شتێک سه‌رنج ڕاکێش بێت و خه‌ڵک هه‌وڵدات که‌ به‌ده‌ستی بێنێت												
chance	  هەل	شانس												
minister	  وەزیر	شاڵیار												
ministry	  وەزارت	شالیاری												
screen	  پەردە	شاشە												
P	  پی	شازدەیەم تیپی ئەلفوبێی ئینگلیزی												
hide	  بشارەوە	شاردنەوە												
artery	  خوێنبەر	شادەمار												
visitant	  سەردانکەر	سەیرانکەر												
toast	  نانی برژاو	سەمونی برژاو												
leader	  ڕابەر	سەکردە												
